         601965921 function calls (599366529 primitive calls) in 540.396 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2759100    1.310    0.000    7.224    0.000 read_only.py:99(is_date)
   110403    0.249    0.000    6.939    0.000 blocks.py:244(make_block)
  2618494    2.856    0.000    6.939    0.000 common.py:1460(is_extension_array_dtype)
   488189    4.889    0.000    6.819    0.000 {pandas._libs.lib.infer_dtype}
    46912    0.339    0.000    6.550    0.000 base.py:2960(get_indexer)
   110360    0.588    0.000    6.465    0.000 indexing.py:588(_get_setitem_indexer)
   173111    0.525    0.000    6.452    0.000 generic.py:3213(_maybe_update_cacher)
   319281    1.522    0.000    6.281    0.000 cast.py:1201(maybe_infer_to_datetimelike)
   331873    1.641    0.000    6.267    0.000 base.py:4086(__getitem__)
   880583    2.764    0.000    6.253    0.000 generic.py:5143(__setattr__)
   697646    1.577    0.000    6.230    0.000 blocks.py:2396(__init__)
  2759100    1.111    0.000    5.914    0.000 cell.py:249(is_date)
    23445    0.217    0.000    5.707    0.000 base.py:3294(reindex)
    23436    0.130    0.000    5.638    0.000 generic.py:11395(stat_func)
    23454    0.057    0.000    5.636    0.000 base.py:4703(get_indexer_for)
    23452    0.221    0.000    5.495    0.000 series.py:4224(_reduce)
13365378/10962747    3.979    0.000    5.424    0.000 {built-in method builtins.len}
310377/309595    1.185    0.000    5.361    0.000 serialisable.py:46(from_tree)
  1695567    1.742    0.000    5.012    0.000 base.py:4626(_get_values_for_loc)
    62734    0.188    0.000    5.000    0.000 generic.py:3194(_maybe_cache_changed)
  5864541    3.144    0.000    4.929    0.000 ElementTree.py:1660(_end)
    23436    0.223    0.000    4.765    0.000 nanops.py:61(_f)
   699115    2.233    0.000    4.534    0.000 blocks.py:124(__init__)
  5871054    3.210    0.000    4.513    0.000 ElementTree.py:1319(read_events)
  2528865    2.213    0.000    4.476    0.000 common.py:1600(_is_dtype_type)
  1372678    1.245    0.000    4.421    0.000 common.py:194(is_object_dtype)
    55182    2.402    0.000    4.392    0.000 _read_only.py:101(_get_row)
1861351/1837600    4.276    0.000    4.316    0.000 {built-in method numpy.array}
   660410    0.824    0.000    4.222    0.000 construction.py:339(extract_array)
  1895947    1.864    0.000    4.088    0.000 base.py:4979(_maybe_cast_indexer)
   860219    0.766    0.000    4.022    0.000 common.py:456(is_period_dtype)
 23272291    3.831    0.000    4.015    0.000 {built-in method builtins.getattr}
    23436    0.116    0.000    3.997    0.000 nanops.py:470(nansum)
   791382    0.848    0.000    3.961    0.000 common.py:492(is_interval_dtype)
   796795    1.061    0.000    3.787    0.000 common.py:530(is_categorical_dtype)
    23443    0.245    0.000    3.772    0.000 generic.py:4504(_reindex_with_indexers)
   159746    0.871    0.000    3.757    0.000 common.py:97(is_bool_indexer)
  2007740    1.136    0.000    3.740    0.000 series.py:540(_values)
  1748630    1.887    0.000    3.738    0.000 {pandas._libs.lib.is_list_like}
   270092    0.786    0.000    3.690    0.000 blocks.py:256(make_block_same_class)
898945/876494    0.521    0.000    3.587    0.000 _asarray.py:23(asarray)
    46872    0.339    0.000    3.536    0.000 array_ops.py:160(arithmetic_op)
  2759100    3.094    0.000    3.479    0.000 cell.py:193(coordinate_to_tuple)
    23453    0.223    0.000    3.471    0.000 nanops.py:237(_get_values)
  5864546    3.397    0.000    3.397    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
    55180    0.287    0.000    3.384    0.000 load.py:5(area_type)
   110360    0.656    0.000    3.324    0.000 indexing.py:719(_convert_tuple)
   111068    0.427    0.000    3.291    0.000 frame.py:3184(_box_col_values)
